"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "XML", "CSS", "HTML", "SCSS", "comment", "blank", "total"
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-slottimebooking.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-summarybooking.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-transactiontrack.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 1, 59
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\models\report\report-truckstatus.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\account\role.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 8, 34
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\account\user.service.ts", "TypeScript", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 19, 80
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\api.service.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 12, 64
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\booking-header.service.ts", "TypeScript", 0, 0, 0, 164, 0, 0, 0, 0, 0, 0, 31, 195
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\booking-key.service.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 6, 30
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\check-in.service.ts", "TypeScript", 0, 0, 0, 68, 0, 0, 0, 0, 0, 116, 16, 200
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\create-booking-excel.service.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 5, 26
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\po.service.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\booking\pre-check-in-excel.service.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\language.service.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\layout\layout.service.ts", "TypeScript", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 22, 109
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\door.service.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 16, 70
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\est-time.service.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 6, 28
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\operation.service.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 22, 116
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\supplier-group.service.ts", "TypeScript", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 12, 58
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\supplier.service.ts", "TypeScript", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 15, 69
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\truckMaster.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\warehouse-capacity.service.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 16, 75
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\warehouse-operation-capacity.service.ts", "TypeScript", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 13, 65
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\master\warehouse.service.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\menu\app.menu.service.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\paging.service.ts", "TypeScript", 0, 0, 0, 165, 0, 0, 0, 0, 0, 5, 35, 205
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\queuemanage\manage-queue.service.ts", "TypeScript", 0, 0, 0, 149, 0, 0, 0, 0, 0, 168, 28, 345
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\report\report.service.ts", "TypeScript", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 13, 66
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@core\services\signalr.service.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 14, 41
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\access\access.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 1, 51
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\access\access.component.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\config\config.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 66, 0, 65, 9, 140
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\config\config.component.ts", "TypeScript", 0, 0, 0, 121, 0, 0, 0, 0, 0, 40, 33, 194
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\config\config.module.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\error\error.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 51, 0, 27, 1, 79
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\error\error.component.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\menu\menu.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\menu\menu.component.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 18, 109
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\menu\menu.ts", "TypeScript", 0, 0, 0, 221, 0, 0, 0, 0, 0, 10, 3, 234
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\menuitem\menuitem.component.ts", "TypeScript", 0, 0, 0, 233, 0, 0, 0, 0, 0, 3, 30, 266
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\po-dialog\po-dialog.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 3, 47
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\po-dialog\po-dialog.component.ts", "TypeScript", 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 19, 100
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\slot-time-modal\slot-time-modal.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 2, 38
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\slot-time-modal\slot-time-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 4, 21
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\slot-time-modal\slot-time-modal.component.ts", "TypeScript", 0, 0, 0, 279, 0, 0, 0, 0, 0, 19, 74, 372
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\status-modal\status-modal.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\status-modal\status-modal.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 4, 20
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\modal\status-modal\status-modal.component.ts", "TypeScript", 0, 0, 0, 196, 0, 0, 0, 0, 0, 1, 29, 226
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\notfound\notfound.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 110, 0, 0, 1, 111
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\notfound\notfound.component.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\sidebar\sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\sidebar\sidebar.component.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\table-page-list\custom-table-state-storage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\table-page-list\table-page-list.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 433, 0, 17, 4, 454
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\table-page-list\table-page-list.component.ts", "TypeScript", 0, 0, 0, 195, 0, 0, 0, 0, 0, 33, 39, 267
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\topbar\topbar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 135, 0, 23, 15, 173
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\components\topbar\topbar.component.ts", "TypeScript", 0, 0, 0, 114, 0, 0, 0, 0, 0, 1, 22, 137
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\layouts\layout.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 15, 0, 2, 1, 18
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\layouts\layout.component.ts", "TypeScript", 0, 0, 0, 127, 0, 0, 0, 0, 0, 11, 18, 156
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\layouts\layout.module.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 3, 45
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_config.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 4, 43
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_content.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 2, 13
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_footer.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\Work Dev\source\repos\Makro-IMS\Makro.IMS\Makro.IMS.Web\src\app\@theme\styles\_main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 9, 64
